job_id	job_address	job_city	job_zip	job_start_date	job_end_date	job_description	price_range	job_type	creator	selected_contractor
26	321 Viking Drive	Burbank	19034	1/26/2014	4/19/2015	description	520	260	847	542
27	1221 Southside Lane	Harrisburg	45890	1/27/2014	4/22/2015	description	540	270	512	355
28	4934 Del Dew Drive	Oklahoma City	98501	1/28/2014	4/25/2015	description	560	280	624	205
29	2814 Rosewood Court	Englewood	13323	1/29/2014	4/28/2015	description	580	290	91	794
30	3842 Stuart Street	Danville	60601	1/30/2014	5/1/2015	description	600	300	272	180
31	4510 Maple Avenue	Hollywood	75067	1/31/2014	5/4/2015	description	620	310	184	399
32	1083 Neville Street	Portland	66215	2/1/2014	5/7/2015	description	640	320	521	1000
33	3619 Norma Lane	Maryland Heights	32205	2/2/2014	5/10/2015	description	660	330	239	527
34	4444 Garrett Street	Kansas City	17011	2/3/2014	5/13/2015	description	680	340	874	870
35	2506 Parrill Court	Pensacola	84047	2/4/2014	5/16/2015	description	700	350	379	607
36	1306 Mercer Street	Damariscotta	98122	2/5/2014	5/19/2015	description	720	360	237	70
37	3471 Thunder Road	Wilmington	93721	2/6/2014	5/22/2015	description	740	370	431	244
38	4819 Bottom Lane	Dallas	53562	2/7/2014	5/25/2015	description	760	380	951	232
39	3898 Masonic Drive	Boise	52001	2/8/2014	5/28/2015	description	780	390	755	583
40	3963 Jones Avenue	Wheeling	36703	2/9/2014	5/31/2015	description	800	400	266	439
41	1898 Francis Mine	Houston	30328	2/10/2014	6/3/2015	description	820	410	668	14
42	3977 Oakridge Farm Lane	Wheaton	89014	2/11/2014	6/6/2015	description	840	420	562	701
43	3519 Cottrill Lane	Altamonte Springs	34994	2/12/2014	6/9/2015	description	860	430	271	599
44	4889 McDowell Street	Chapel Hill	30318	2/13/2014	6/12/2015	description	880	440	591	136
45	4203 Angie Drive	Augusta	95204	2/14/2014	6/15/2015	description	900	450	533	973
46	950 Fairfield Road	Tulsa	40391	2/15/2014	6/18/2015	description	920	460	665	776
47	78 Cherry Ridge Drive	Parkersburg	94108	2/16/2014	6/21/2015	description	940	470	161	731
48	4883 Gateway Road	Belfast	63101	2/17/2014	6/24/2015	description	960	480	451	395
49	3770 Whiteman Street	Strasburg	5403	2/18/2014	6/27/2015	description	980	490	880	762
50	4359 Rosemont Avenue	Johnson City	18706	2/19/2014	6/30/2015	description	1000	500	751	569
51	1223 Union Street	Flint	25701	2/20/2014	7/3/2015	description	1020	510	827	50
52	1174 Deer Haven Drive	Chicago	75051	2/21/2014	7/6/2015	description	1040	520	418	185
53	305 Pheasant Ridge Road	Shelton	92065	2/22/2014	7/9/2015	description	1060	530	839	551
54	4872 Cooks Mine Road	Peekskill	97041	2/23/2014	7/12/2015	description	1080	540	861	872
55	639 Michigan Avenue	Irvine	7041	2/24/2014	7/15/2015	description	1100	550	647	710
56	2136 Hillside Drive	Southfield	35215	2/25/2014	7/18/2015	description	1120	560	129	473
57	4619 Settlers Lane	Norwalk	23224	2/26/2014	7/21/2015	description	1140	570	635	863
58	4738 Blair Court	Fort Lauderdale	11101	2/27/2014	7/24/2015	description	1160	580	835	291
59	4497 Vesta Drive	Mannford	53151	2/28/2014	7/27/2015	description	1180	590	167	576
60	2206 Boone Crockett Lane	Indianapolis	15146	3/1/2014	7/30/2015	description	1200	600	503	48
61	4205 Old Dear Lane	Richmond	2154	3/2/2014	8/2/2015	description	1220	610	445	597
62	4261 Oakwood Circle	Atlanta	96130	3/3/2014	8/5/2015	description	1240	620	173	418
63	478 Bombardier Way	Los Angeles	92801	3/4/2014	8/8/2015	description	1260	630	235	674
64	3323 Bedford Street	Burgess	45402	3/5/2014	8/11/2015	description	1280	640	143	504
65	2817 Foley Street	South Boston	27526	3/6/2014	8/14/2015	description	1300	650	25	290
66	3332 Hornor Avenue	Houston	11354	3/7/2014	8/17/2015	description	1320	660	893	12
67	329 Crestview Manor	Jermyn	60607	3/8/2014	8/20/2015	description	1340	670	41	615
68	4618 Coulter Lane	New London	15132	3/9/2014	8/23/2015	description	1360	680	809	479
69	1129 Stroop Hill Road	Cheyenne	37074	3/10/2014	8/26/2015	description	1380	690	780	550
70	951 Locust Court	Suitland	80015	3/11/2014	8/29/2015	description	1400	700	936	409
71	4928 Poe Road	Denver	32746	3/12/2014	9/1/2015	description	1420	710	453	269
72	452 Pearlman Avenue	Albany	11743	3/13/2014	9/4/2015	description	1440	720	578	678
73	4102 Werninger Street	Beaver Creek	33132	3/14/2014	9/7/2015	description	1460	730	645	241
74	377 Conference Center Way	Fullerton	48607	3/15/2014	9/10/2015	description	1480	740	698	521
75	3151 Lochmere Lane	Agoura	96782	3/16/2014	9/13/2015	description	1500	750	980	911
76	1767 Thorn Street	Philadelphia	93535	3/17/2014	9/16/2015	description	1520	760	928	115
77	1439 Bluff Street	Burbank	21742	3/18/2014	9/19/2015	description	1540	770	88	893
78	2070 Logan Lane	Harrisburg	98168	3/19/2014	9/22/2015	description	1560	780	715	200
79	2803 Oak Drive	Oklahoma City	7094	3/20/2014	9/25/2015	description	1580	790	189	685
80	3690 New Street	Englewood	56560	3/21/2014	9/28/2015	description	1600	800	51	256
81	1762 Denver Avenue	Danville	72901	3/22/2014	10/1/2015	description	1620	810	696	856
82	4300 Quiet Valley Lane	Hollywood	25962	3/23/2014	10/4/2015	description	1640	820	520	10
83	511 Wakefield Street	Portland	10007	3/24/2014	10/7/2015	description	1660	830	577	723
84	4897 Locust Court	Maryland Heights	89109	3/25/2014	10/10/2015	description	1680	840	515	706
85	565 Aaron Smith Drive	Kansas City	54401	3/26/2014	10/13/2015	description	1700	850	795	752
86	1175 Cody Ridge Road	Pensacola	68784	3/27/2014	10/16/2015	description	1720	860	998	613
87	1900 McKinley Avenue	Damariscotta	10940	3/28/2014	10/19/2015	description	1740	870	671	548
88	4536 Water Street	Wilmington	73077	3/29/2014	10/22/2015	description	1760	880	348	168
89	3969 Sycamore Fork Road	Dallas	64110	3/30/2014	10/25/2015	description	1780	890	478	270
90	4324 Chipmunk Lane	Boise	43085	3/31/2014	10/28/2015	description	1800	900	370	378
91	2598 Court Street	Wheeling	55931	4/1/2014	10/31/2015	description	1820	910	509	357
92	4904 Poe Lane	Houston	80111	4/2/2014	11/3/2015	description	1840	920	425	983
93	3769 Star Trek Drive	Wheaton	68310	4/3/2014	11/6/2015	description	1860	930	643	605
94	4246 Bloomfield Way	Altamonte Springs	44846	4/4/2014	11/9/2015	description	1880	940	38	759
95	1709 Ray Court	Chapel Hill	7643	4/5/2014	11/12/2015	description	1900	950	278	410
96	2597 Stoney Lane	Augusta	32446	4/6/2014	11/15/2015	description	1920	960	365	224
97	3296 Poplar Chase Lane	Tulsa	11743	4/7/2014	11/18/2015	description	1940	970	659	306
98	3573 Tavern Place	Parkersburg	32901	4/8/2014	11/21/2015	description	1960	980	349	858
99	701 Monroe Street	Belfast	49855	4/9/2014	11/24/2015	description	1980	990	300	936
100	414 Steele Street	Strasburg	85348	4/10/2014	11/27/2015	description	2000	1000	579	806
101	3897 McDonald Avenue	Johnson City	46055	4/11/2014	11/30/2015	description	2020	1010	819	19
102	1168 Rockford Mountain Lane	Flint	48335	4/12/2014	12/3/2015	description	2040	1020	680	972
103	3429 Still Pastures Drive	Chicago	48734	4/13/2014	12/6/2015	description	2060	1030	68	954
104	644 Bridge Street	Shelton	48028	4/14/2014	12/9/2015	description	2080	1040	252	824
105	1256 Hall Valley Drive	Peekskill	23219	4/15/2014	12/12/2015	description	2100	1050	639	942
106	2164 Upton Avenue	Irvine	15219	4/16/2014	12/15/2015	description	2120	1060	746	446
107	4999 White Oak Drive	Southfield	30606	4/17/2014	12/18/2015	description	2140	1070	215	956
108	2033 Corbin Branch Road	Norwalk	84604	4/18/2014	12/21/2015	description	2160	1080	707	681
109	2814 Tuna Street	Fort Lauderdale	90017	4/19/2014	12/24/2015	description	2180	1090	524	216
110	2207 Liberty Street	Mannford	78205	4/20/2014	12/27/2015	description	2200	1100	192	886
111	4387 Edington Drive	Indianapolis	45044	4/21/2014	12/30/2015	description	2220	1110	248	651
112	2481 Collins Avenue	Richmond	72211	4/22/2014	1/2/2016	description	2240	1120	596	97
113	2827 Summit Street	Atlanta	91731	4/23/2014	1/5/2016	description	2260	1130	582	700
114	107 Logan Lane	Los Angeles	20005	4/24/2014	1/8/2016	description	2280	1140	968	217
115	2753 Commerce Boulevard	Burgess	43950	4/25/2014	1/11/2016	description	2300	1150	37	869
116	741 Cedarstone Drive	South Boston	90046	4/26/2014	1/14/2016	description	2320	1160	175	792
117	347 Goldleaf Lane	Houston	20031	4/27/2014	1/17/2016	description	2340	1170	24	243
118	4041 Woodside Circle	Jermyn	55057	4/28/2014	1/20/2016	description	2360	1180	759	999
119	1734 Grove Street	New London	97205	4/29/2014	1/23/2016	description	2380	1190	841	123
120	93 Stoneybrook Road	Cheyenne	83330	4/30/2014	1/26/2016	description	2400	1200	885	37
121	694 Wood Duck Drive	Suitland	47591	5/1/2014	1/29/2016	description	2420	1210	786	376
122	4523 Farm Meadow Drive	Denver	71201	5/2/2014	2/1/2016	description	2440	1220	956	4
123	3223 Crestview Manor	Albany	49503	5/3/2014	2/4/2016	description	2460	1230	336	506
124	592 Eagle Drive	Beaver Creek	46383	5/4/2014	2/7/2016	description	2480	1240	181	407
125	842 Mount Street	Fullerton	54801	5/5/2014	2/10/2016	description	2500	1250	205	810
126	2066 Tuna Street	Agoura	95134	5/6/2014	2/13/2016	description	2520	1260	468	154
127	3819 Fleming Way	Philadelphia	14736	5/7/2014	2/16/2016	description	2540	1270	187	793
128	3236 Lucky Duck Drive	Burbank	59230	5/8/2014	2/19/2016	description	2560	1280	448	686
129	790 Riverside Drive	Harrisburg	27444	5/9/2014	2/22/2016	description	2580	1290	802	246
130	3276 Philadelphia Avenue	Oklahoma City	95926	5/10/2014	2/25/2016	description	2600	1300	933	648
131	2965 Oakway Lane	Englewood	53151	5/11/2014	2/28/2016	description	2620	1310	818	254
132	3304 Weekley Street	Danville	63130	5/12/2014	3/2/2016	description	2640	1320	275	392
133	3395 Ingram Street	Hollywood	37204	5/13/2014	3/5/2016	description	2660	1330	909	933
134	4490 Dawson Drive	Portland	92805	5/14/2014	3/8/2016	description	2680	1340	121	791
135	96 Middleville Road	Maryland Heights	53403	5/15/2014	3/11/2016	description	2700	1350	122	826
136	12 Perine Street	Kansas City	14482	5/16/2014	3/14/2016	description	2720	1360	206	435
137	321 Viking Drive	Pensacola	97223	5/17/2014	3/17/2016	description	2740	1370	471	534
138	1221 Southside Lane	Damariscotta	8102	5/18/2014	3/20/2016	description	2760	1380	864	575
139	4934 Del Dew Drive	Wilmington	32801	5/19/2014	3/23/2016	description	2780	1390	440	377
140	2814 Rosewood Court	Dallas	98107	5/20/2014	3/26/2016	description	2800	1400	381	297
141	3842 Stuart Street	Boise	29379	5/21/2014	3/29/2016	description	2820	1410	790	951
142	4510 Maple Avenue	Wheeling	19107	5/22/2014	4/1/2016	description	2840	1420	720	935
143	1083 Neville Street	Houston	88339	5/23/2014	4/4/2016	description	2860	1430	538	888
144	3619 Norma Lane	Wheaton	15017	5/24/2014	4/7/2016	description	2880	1440	312	316
145	4444 Garrett Street	Altamonte Springs	1890	5/25/2014	4/10/2016	description	2900	1450	984	996
146	2506 Parrill Court	Chapel Hill	11357	5/26/2014	4/13/2016	description	2920	1460	337	137
147	1306 Mercer Street	Augusta	64093	5/27/2014	4/16/2016	description	2940	1470	799	102
148	3471 Thunder Road	Tulsa	60628	5/28/2014	4/19/2016	description	2960	1480	917	814
149	4819 Bottom Lane	Parkersburg	98584	5/29/2014	4/22/2016	description	2980	1490	688	153
150	3898 Masonic Drive	Belfast	10566	5/30/2014	4/25/2016	description	3000	1500	390	300
151	3963 Jones Avenue	Strasburg	92614	5/31/2014	4/28/2016	description	3020	1510	580	426
152	1898 Francis Mine	Johnson City	48075	6/1/2014	5/1/2016	description	3040	1520	253	218
153	3977 Oakridge Farm Lane	Flint	6851	6/2/2014	5/4/2016	description	3060	1530	511	234
154	3519 Cottrill Lane	Chicago	33308	6/3/2014	5/7/2016	description	3080	1540	908	89
155	4889 McDowell Street	Shelton	74044	6/4/2014	5/10/2016	description	3100	1550	58	219
156	4203 Angie Drive	Peekskill	46214	6/5/2014	5/13/2016	description	3120	1560	114	736
157	950 Fairfield Road	Irvine	23233	6/6/2014	5/16/2016	description	3140	1570	724	121
158	78 Cherry Ridge Drive	Southfield	30303	6/7/2014	5/19/2016	description	3160	1580	141	524
159	4883 Gateway Road	Norwalk	90017	6/8/2014	5/22/2016	description	3180	1590	236	32
160	3770 Whiteman Street	Fort Lauderdale	29576	6/9/2014	5/25/2016	description	3200	1600	290	964
161	4359 Rosemont Avenue	Mannford	2127	6/10/2014	5/28/2016	description	3220	1610	322	8
162	1223 Union Street	Indianapolis	77032	6/11/2014	5/31/2016	description	3240	1620	823	823
163	1174 Deer Haven Drive	Richmond	18433	6/12/2014	6/3/2016	description	3260	1630	583	821
164	305 Pheasant Ridge Road	Atlanta	6320	6/13/2014	6/6/2016	description	3280	1640	466	469
165	4872 Cooks Mine Road	Los Angeles	82003	6/14/2014	6/9/2016	description	3300	1650	407	654
166	639 Michigan Avenue	Burgess	20746	6/15/2014	6/12/2016	description	3320	1660	483	58
167	2136 Hillside Drive	South Boston	80205	6/16/2014	6/15/2016	description	3340	1670	931	518
168	4619 Settlers Lane	Houston	12207	6/17/2014	6/18/2016	description	3360	1680	233	675
169	4738 Blair Court	Jermyn	97004	6/18/2014	6/21/2016	description	3380	1690	930	187
170	4497 Vesta Drive	New London	93632	6/19/2014	6/24/2016	description	3400	1700	637	184
171	2206 Boone Crockett Lane	Cheyenne	91301	6/20/2014	6/27/2016	description	3420	1710	69	276
172	4205 Old Dear Lane	Suitland	19107	6/21/2014	6/30/2016	description	3440	1720	714	662
173	4261 Oakwood Circle	Denver	91505	6/22/2014	7/3/2016	description	3460	1730	648	231
174	478 Bombardier Way	Albany	17101	6/23/2014	7/6/2016	description	3480	1740	326	986
175	3323 Bedford Street	Beaver Creek	73105	6/24/2014	7/9/2016	description	3500	1750	774	584
176	2817 Foley Street	Fullerton	80112	6/25/2014	7/12/2016	description	3520	1760	382	85
177	3332 Hornor Avenue	Agoura	94526	6/26/2014	7/15/2016	description	3540	1770	771	82
178	329 Crestview Manor	Philadelphia	33023	6/27/2014	7/18/2016	description	3560	1780	921	887
179	4618 Coulter Lane	Burbank	4101	6/28/2014	7/21/2016	description	3580	1790	589	971
180	1129 Stroop Hill Road	Harrisburg	63141	6/29/2014	7/24/2016	description	3600	1800	447	672
181	951 Locust Court	Oklahoma City	66101	6/30/2014	7/27/2016	description	3620	1810	11	836
182	4928 Poe Road	Englewood	32501	7/1/2014	7/30/2016	description	3640	1820	545	147
183	452 Pearlman Avenue	Danville	4543	7/2/2014	8/2/2016	description	3660	1830	492	912
184	4102 Werninger Street	Hollywood	28412	7/3/2014	8/5/2016	description	3680	1840	102	813
185	377 Conference Center Way	Portland	75212	7/4/2014	8/8/2016	description	3700	1850	803	233
186	3151 Lochmere Lane	Maryland Heights	83702	7/5/2014	8/11/2016	description	3720	1860	587	104
187	1767 Thorn Street	Kansas City	26003	7/6/2014	8/14/2016	description	3740	1870	128	754
188	1439 Bluff Street	Pensacola	77026	7/7/2014	8/17/2016	description	3760	1880	566	944
189	2070 Logan Lane	Damariscotta	60187	7/8/2014	8/20/2016	description	3780	1890	805	642
190	2803 Oak Drive	Wilmington	32714	7/9/2014	8/23/2016	description	3800	1900	211	367
191	3690 New Street	Dallas	27514	7/10/2014	8/26/2016	description	3820	1910	971	15
192	1762 Denver Avenue	Boise	30901	7/11/2014	8/29/2016	description	3840	1920	85	904
193	4300 Quiet Valley Lane	Wheeling	74120	7/12/2014	9/1/2016	description	3860	1930	366	303
194	511 Wakefield Street	Houston	26101	7/13/2014	9/4/2016	description	3880	1940	844	712
195	4897 Locust Court	Wheaton	4915	7/14/2014	9/7/2016	description	3900	1950	357	99
196	565 Aaron Smith Drive	Altamonte Springs	64090	7/15/2014	9/10/2016	description	3920	1960	695	404
197	1175 Cody Ridge Road	Chapel Hill	37601	7/16/2014	9/13/2016	description	3940	1970	857	494
198	1900 McKinley Avenue	Augusta	48502	7/17/2014	9/16/2016	description	3960	1980	228	1
199	4536 Water Street	Tulsa	75090	7/18/2014	9/19/2016	description	3980	1990	328	84
200	3969 Sycamore Fork Road	Parkersburg	30071	7/19/2014	9/22/2016	description	4000	2000	611	682
201	4324 Chipmunk Lane	Belfast	21740	7/20/2014	9/25/2016	description	4020	2010	953	695
202	2598 Court Street	Strasburg	48723	7/21/2014	9/28/2016	description	4040	2020	420	507
203	4904 Poe Lane	Johnson City	72212	7/22/2014	10/1/2016	description	4060	2030	572	950
204	3769 Star Trek Drive	Flint	27406	7/23/2014	10/4/2016	description	4080	2040	838	421
205	4246 Bloomfield Way	Chicago	60527	7/24/2014	10/7/2016	description	4100	2050	686	179
206	1709 Ray Court	Shelton	8854	7/25/2014	10/10/2016	description	4120	2060	52	606
207	2597 Stoney Lane	Peekskill	89506	7/26/2014	10/13/2016	description	4140	2070	877	526
208	3296 Poplar Chase Lane	Irvine	90013	7/27/2014	10/16/2016	description	4160	2080	369	116
209	3573 Tavern Place	Southfield	12345	7/28/2014	10/19/2016	description	4180	2090	101	984
210	701 Monroe Street	Norwalk	98856	7/29/2014	10/22/2016	description	4200	2100	334	120
211	414 Steele Street	Fort Lauderdale	14609	7/30/2014	10/25/2016	description	4220	2110	94	206
212	3897 McDonald Avenue	Mannford	31707	7/31/2014	10/28/2016	description	4240	2120	676	202
213	1168 Rockford Mountain Lane	Indianapolis	99205	8/1/2014	10/31/2016	description	4260	2130	629	629
214	3429 Still Pastures Drive	Richmond	77340	8/2/2014	11/3/2016	description	4280	2140	86	161
215	644 Bridge Street	Atlanta	96813	8/3/2014	11/6/2016	description	4300	2150	57	287
216	1256 Hall Valley Drive	Los Angeles	13021	8/4/2014	11/9/2016	description	4320	2160	730	474
217	2164 Upton Avenue	Burgess	45701	8/5/2014	11/12/2016	description	4340	2170	501	352
218	4999 White Oak Drive	South Boston	75201	8/6/2014	11/15/2016	description	4360	2180	801	209
219	2033 Corbin Branch Road	Houston	60633	8/7/2014	11/18/2016	description	4380	2190	261	718
220	2814 Tuna Street	Jermyn	3782	8/8/2014	11/21/2016	description	4400	2200	943	879
221	2207 Liberty Street	New London	44286	8/9/2014	11/24/2016	description	4420	2210	979	621
222	4387 Edington Drive	Cheyenne	17101	8/10/2014	11/27/2016	description	4440	2220	569	645
223	2481 Collins Avenue	Suitland	94612	8/11/2014	11/30/2016	description	4460	2230	532	616
224	2827 Summit Street	Denver	49508	8/12/2014	12/3/2016	description	4480	2240	670	778
225	107 Logan Lane	Albany	2142	8/13/2014	12/6/2016	description	4500	2250	280	638
226	2753 Commerce Boulevard	Beaver Creek	6103	8/14/2014	12/9/2016	description	4520	2260	34	835
227	741 Cedarstone Drive	Fullerton	1012	8/15/2014	12/12/2016	description	4540	2270	341	505
228	347 Goldleaf Lane	Agoura	29115	8/16/2014	12/15/2016	description	4560	2280	608	468
229	4041 Woodside Circle	Philadelphia	66061	8/17/2014	12/18/2016	description	4580	2290	358	925
230	1734 Grove Street	Burbank	15206	8/18/2014	12/21/2016	description	4600	2300	894	774
231	93 Stoneybrook Road	Harrisburg	24382	8/19/2014	12/24/2016	description	4620	2310	868	282
232	694 Wood Duck Drive	Oklahoma City	32401	8/20/2014	12/27/2016	description	4640	2320	846	453
233	4523 Farm Meadow Drive	Englewood	19034	8/21/2014	12/30/2016	description	4660	2330	347	677
234	3223 Crestview Manor	Danville	45890	8/22/2014	1/2/2017	description	4680	2340	812	477
235	592 Eagle Drive	Hollywood	98501	8/23/2014	1/5/2017	description	4700	2350	18	997
236	842 Mount Street	Portland	13323	8/24/2014	1/8/2017	description	4720	2360	162	430
237	2066 Tuna Street	Maryland Heights	60601	8/25/2014	1/11/2017	description	4740	2370	927	834
238	3819 Fleming Way	Kansas City	75067	8/26/2014	1/14/2017	description	4760	2380	203	617
239	3236 Lucky Duck Drive	Pensacola	66215	8/27/2014	1/17/2017	description	4780	2390	612	227
240	790 Riverside Drive	Damariscotta	32205	8/28/2014	1/20/2017	description	4800	2400	263	862
241	3276 Philadelphia Avenue	Wilmington	17011	8/29/2014	1/23/2017	description	4820	2410	436	545
242	2965 Oakway Lane	Dallas	84047	8/30/2014	1/26/2017	description	4840	2420	185	35
243	3304 Weekley Street	Boise	98122	8/31/2014	1/29/2017	description	4860	2430	988	957
244	3395 Ingram Street	Wheeling	93721	9/1/2014	2/1/2017	description	4880	2440	459	568
245	4490 Dawson Drive	Houston	53562	9/2/2014	2/4/2017	description	4900	2450	221	559
246	96 Middleville Road	Wheaton	52001	9/3/2014	2/7/2017	description	4920	2460	465	948
247	12 Perine Street	Altamonte Springs	36703	9/4/2014	2/10/2017	description	4940	2470	450	687
248	321 Viking Drive	Chapel Hill	30328	9/5/2014	2/13/2017	description	4960	2480	500	746
249	1221 Southside Lane	Augusta	89014	9/6/2014	2/16/2017	description	4980	2490	472	150
250	4934 Del Dew Drive	Tulsa	34994	9/7/2014	2/19/2017	description	5000	2500	49	908
251	2814 Rosewood Court	Parkersburg	30318	9/8/2014	2/22/2017	description	5020	2510	226	503
252	3842 Stuart Street	Belfast	95204	9/9/2014	2/25/2017	description	5040	2520	302	40
253	4510 Maple Avenue	Strasburg	40391	9/10/2014	2/28/2017	description	5060	2530	314	729
254	1083 Neville Street	Johnson City	94108	9/11/2014	3/3/2017	description	5080	2540	788	140
255	3619 Norma Lane	Flint	63101	9/12/2014	3/6/2017	description	5100	2550	548	328
256	4444 Garrett Street	Chicago	5403	9/13/2014	3/9/2017	description	5120	2560	605	764
257	2506 Parrill Court	Shelton	18706	9/14/2014	3/12/2017	description	5140	2570	729	72
258	1306 Mercer Street	Peekskill	25701	9/15/2014	3/15/2017	description	5160	2580	820	628
259	3471 Thunder Road	Irvine	75051	9/16/2014	3/18/2017	description	5180	2590	287	440
260	4819 Bottom Lane	Southfield	92065	9/17/2014	3/21/2017	description	5200	2600	196	982
261	3898 Masonic Drive	Norwalk	97041	9/18/2014	3/24/2017	description	5220	2610	550	614
262	3963 Jones Avenue	Fort Lauderdale	7041	9/19/2014	3/27/2017	description	5240	2620	733	411
263	1898 Francis Mine	Mannford	35215	9/20/2014	3/30/2017	description	5260	2630	641	483
264	3977 Oakridge Farm Lane	Indianapolis	23224	9/21/2014	4/2/2017	description	5280	2640	544	318
265	3519 Cottrill Lane	Richmond	11101	9/22/2014	4/5/2017	description	5300	2650	171	891
266	4889 McDowell Street	Atlanta	53151	9/23/2014	4/8/2017	description	5320	2660	837	902
267	4203 Angie Drive	Los Angeles	15146	9/24/2014	4/11/2017	description	5340	2670	898	230
268	950 Fairfield Road	Burgess	2154	9/25/2014	4/14/2017	description	5360	2680	859	480
269	78 Cherry Ridge Drive	South Boston	96130	9/26/2014	4/17/2017	description	5380	2690	694	461
270	4883 Gateway Road	Houston	92801	9/27/2014	4/20/2017	description	5400	2700	56	259
271	3770 Whiteman Street	Jermyn	45402	9/28/2014	4/23/2017	description	5420	2710	224	77
272	4359 Rosemont Avenue	New London	27526	9/29/2014	4/26/2017	description	5440	2720	110	732
273	1223 Union Street	Cheyenne	11354	9/30/2014	4/29/2017	description	5460	2730	117	967
274	1174 Deer Haven Drive	Suitland	60607	10/1/2014	5/2/2017	description	5480	2740	609	167
275	305 Pheasant Ridge Road	Denver	15132	10/2/2014	5/5/2017	description	5500	2750	510	709
276	4872 Cooks Mine Road	Albany	37074	10/3/2014	5/8/2017	description	5520	2760	8	26
277	639 Michigan Avenue	Beaver Creek	80015	10/4/2014	5/11/2017	description	5540	2770	48	52
278	2136 Hillside Drive	Fullerton	32746	10/5/2014	5/14/2017	description	5560	2780	178	436
279	4619 Settlers Lane	Agoura	11743	10/6/2014	5/17/2017	description	5580	2790	952	485
280	4738 Blair Court	Philadelphia	33132	10/7/2014	5/20/2017	description	5600	2800	316	913
281	4497 Vesta Drive	Burbank	48607	10/8/2014	5/23/2017	description	5620	2810	144	953
282	2206 Boone Crockett Lane	Harrisburg	96782	10/9/2014	5/26/2017	description	5640	2820	67	152
283	4205 Old Dear Lane	Oklahoma City	93535	10/10/2014	5/29/2017	description	5660	2830	910	666
284	4261 Oakwood Circle	Englewood	21742	10/11/2014	6/1/2017	description	5680	2840	664	44
285	478 Bombardier Way	Danville	98168	10/12/2014	6/4/2017	description	5700	2850	327	56
286	3323 Bedford Street	Hollywood	7094	10/13/2014	6/7/2017	description	5720	2860	705	653
287	2817 Foley Street	Portland	56560	10/14/2014	6/10/2017	description	5740	2870	199	25
288	3332 Hornor Avenue	Maryland Heights	72901	10/15/2014	6/13/2017	description	5760	2880	882	827
289	329 Crestview Manor	Kansas City	25962	10/16/2014	6/16/2017	description	5780	2890	912	508
290	4618 Coulter Lane	Pensacola	10007	10/17/2014	6/19/2017	description	5800	2900	607	229
291	1129 Stroop Hill Road	Damariscotta	89109	10/18/2014	6/22/2017	description	5820	2910	93	359
292	951 Locust Court	Wilmington	54401	10/19/2014	6/25/2017	description	5840	2920	769	462
293	4928 Poe Road	Dallas	68784	10/20/2014	6/28/2017	description	5860	2930	319	201
294	452 Pearlman Avenue	Boise	10940	10/21/2014	7/1/2017	description	5880	2940	229	846
